scheme_name,returns_5yr,predicted_5yr
Franklin India Feeder – Franklin U.S. Opp.-Dir Growth,11.6,9.888294
PGIM India Ultra Short Duration Fund,7.3,9.878539
HSBC Large Cap Fund,10.6,9.868203
Indiabulls Bluechip Fund,9.5,9.849466
SBI Magnum Equity ESG Fund,12.2,9.829112
UTI-Value Opportunities Fund,12.2,9.820237
HSBC ELSS Fund,8.0,9.804433
Invesco India – Invesco GEI Fund,9.5,9.803012
IDBI Nifty Next 50 Index Fund,6.2,9.766723
Edelweiss Greater China Equity Off-Shore Fund,6.1,9.7663145
HDFC Capital Builder Value Fund,11.3,9.763677
Franklin India Multi-Asset Solution Fund,5.3,9.763221
ICICI Pru Nifty Next 50 Index Fund,6.1,9.762523
Tata Equity P/E Fund,10.0,9.75147
Mahindra Manulife Equity Savings Fund,13.3,9.73911
L&T India Large Cap Fund,12.1,9.726087
Kotak Debt Hybrid Fund,10.0,9.722423
DSP Top 100 Equity Fund,8.9,9.697402
Edelweiss Balanced Advantage Fund,12.0,9.687905
AXIS Children’s Gift Fund,10.1,9.6833105
HSBC Managed Solutions Moderate Fund,8.7,9.674195
LIC MF Tax Plan – Direct Growth,9.9,9.65026
Taurus Ethical Fund,11.4,9.64424
Edelweiss Europe Dynamic Equity Offshore – Dir Growth,7.6,9.625159
Aditya Birla SL Balanced Advantage Fund,9.7,9.578008
Motilal Oswal Equity Hybrid Fund,13.3,9.566047
Bandhan Asset Allocation FoF – Moderate – Direct Growth,6.9,9.556788
AXIS Focused 25 Fund,8.9,9.539609
DSP US Flexible Equity Fund,13.6,9.53268
Nippon India US Equity Opportunities Fund,13.3,9.517415
Bank of India Large & Mid Cap Equity Fund,9.5,9.5032
UTI-Hybrid Equity Fund,9.8,9.478566
ICICI Pru Global Stable Equity Fund,10.3,9.461497
Aditya Birla SL Global Emerging Oppt Fund,8.3,9.44322
JM Focused Fund,8.6,9.415942
Edelweiss US Value Equity Offshore Fund,11.5,9.415565
HSBC Tax Saver Equity Fund,8.9,9.412454
WhiteOak Capital Overnight Fund,13.3,9.405116
